cat_id,cat_name,cat_slug,cat_posttype,cat_parent,cat_schema,cat_font_icon,cat_color,cat_description,cat_top_description,cat_bottom_description,cat_image,cat_icon
97,"Toddler Clothing (2-4 years)",toddler-clothing-2-4-years,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
98,Hats,hats,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
99,"Baby Gear &amp; Stuff",baby-gear-stuff,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
100,"Bath &amp; Grooming",bath-grooming,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
101,"Safety Seats for Car",safety-seats-for-car,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
102,"Carriers, Backpacks &amp; Slings",carriers-backpacks-slings,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
104,Shoes,shoes,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
105,Accessories,accessories,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
106,"Baby Sport Stuff",baby-sport-stuff,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
107,"Baby Safety &amp; Health",baby-safety-health,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
108,"Baby Diapering",baby-diapering,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
109,"Feeding Gear &amp; Accessories",feeding-gear-accessories,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
110,"Baby Gifts &amp; Keepsakes",baby-gifts-keepsakes,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
111,"Nursery Beddings",nursery-beddings,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
112,"Nursery Furniture &amp; Decoration",nursery-furniture-decoration,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
113,"Other Baby",other-baby,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
114,"Potty Training",potty-training,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
115,"Baby Strollers",baby-strollers,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
116,"Baby Toys &amp; Games",baby-toys-games,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
117,"Babycare Products",babycare-products,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
118,"Maternity Clothing",maternity-clothing,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
119,"Maternity Bed Pillows",maternity-bed-pillows,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
120,"Other Maternity",other-maternity,gd_place,"BABIES &amp; MOTHERS",,,,,,,,
122,"Belt Bag &amp; Fanny Bag",belt-bag-fanny-bag,gd_place,BAGS,,,,,,,,
123,"Shoulder Bag",shoulder-bag,gd_place,BAGS,,,,,,,,
124,Totes,totes,gd_place,BAGS,,,,,,,,
125,Crossbody,crossbody,gd_place,BAGS,,,,Crossbody,,,,
126,Backpack,backpack,gd_place,BAGS,,,,,,,,
127,Clutch,clutch,gd_place,BAGS,,,,,,,,
128,"Satchel &amp; Top Handle Bag",satchel-top-handle-bag,gd_place,BAGS,,,,,,,,
129,"Messenger Bag",messenger-bag,gd_place,BAGS,,,,,,,,
130,"Hobo Bag",hobo-bag,gd_place,BAGS,,,,,,,,
131,"Laptop Bag",laptop-bag,gd_place,BAGS,,,,,,,,
132,"Briefcase &amp; Document Case",briefcase-document-case,gd_place,BAGS,,,,,,,,
133,"Gym Bag",gym-bag,gd_place,BAGS,,,,,,,,
134,"Drawstring Bag",drawstring-bag,gd_place,BAGS,,,,,,,,
135,"Other Bag",other-bag,gd_place,BAGS,,,,,,,,
137,"Skincare &amp; Lotions",skincare-lotions,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
138,"Fragrances &amp; Perfume",fragrances-perfume,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
139,Makeup,makeup,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
140,"Shaving &amp; Beard Grooming",shaving-beard-grooming,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
141,"Hair &amp; Hair Removal",hair-hair-removal,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
143,"Manicure &amp; Pedicure",manicure-pedicure,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
145,"Health care",health-care,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
146,"Massaging Equipment",massaging-equipment,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
147,"Medical stuff",medical-stuff,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
148,"Oral Care",oral-care,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
149,"Eye Care",eye-care,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
150,"Other Health",other-health,gd_place,"BEAUTY &amp; HEALTH",,,,,,,,
152,Magazines,magazines,gd_place,"BOOKS &amp; MAGAZINES",,,,,,,,
153,Books,books,gd_place,"BOOKS &amp; MAGAZINES",,,,,,,,
154,"Hobby Books",hobby-books,gd_place,"BOOKS &amp; MAGAZINES",,,,,,,,
155,"Fiction Books",fiction-books,gd_place,"BOOKS &amp; MAGAZINES",,,,,,,,
156,"University Books",university-books,gd_place,"BOOKS &amp; MAGAZINES",,,,,,,,
157,"School Books",school-books,gd_place,"BOOKS &amp; MAGAZINES",,,,,,,,
158,"Children’s Literature (0-15 years)",childrens-literature-0-15-years,gd_place,"BOOKS &amp; MAGAZINES",,,,,,,,
159,"Young People’s Literature (16 – 24 years)",young-peoples-literature-16-24-years,gd_place,"BOOKS &amp; MAGAZINES",,,,,,,,
161,"Ventilation &amp; Air Conditioning",ventilation-air-conditioning,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
162,"Nails, Screws &amp; Other Fastening",nails-screws-other-fastening,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
163,"Glues, Paints &amp; Other Stuff",glues-paints-other-stuff,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
164,"Electrical Tools",electrical-tools,gd_place,"BUILDING &amp; REFURBISHING",,,,,,,,
